Display Name	Service Name (Registry)	DEFAULT Windows 10 Home	DEFAULT Windows 10 Pro	Safe for DESKTOP	Safe for LAPTOP or TABLET	Tweaked for DESKTOP	Quick Notes
Remote Registry	RemoteRegistry	Disabled	Disabled	Disabled	Disabled	Disabled	
Retail Demo Service	RetailDemo	Manual	Manual	Disabled *	Disabled *	Disabled *	Not disabled by default? Really?
RIP Listener **	iprip	Not Installed (Automatic, Running)	Not Installed (Automatic, Running)	Not Installed	Not Installed	Not Installed	Leave Not Installed.
Routing and Remote Access	RemoteAccess	Disabled	Disabled	Disabled	Disabled	Disabled	
RPC Endpoint Mapper	RpcEptMapper	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Cannot be disabled via services.msc
Secondary Logon	seclogon	Manual	Manual	Manual	Manual	Manual	
Secure Socket Tunneling Protocol Service	SstpSvc	Manual	Manual	Manual	Manual	Manual	SSTP VPN Capability.
Security Accounts Manager	SamSs	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Security Center	wscsvc	Automatic (Delayed Start, Running)	Automatic (Delayed Start, Running)	Automatic (Delayed Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	
Sensor Data Service	SensorDataService	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Manual	Disabled *	Leave as default for laptops and tablets.
Sensor Monitoring Service	SensrSvc	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Manual	Disabled *	Leave as default for laptops and tablets.
Sensor Service	SensorService	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Manual	Disabled *	Leave as default for laptops and tablets.
Server	LanmanServer	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Shared PC Account Manager	shpamsvc	Disabled	Disabled	Disabled	Disabled	Disabled	
Shell Hardware Detection	ShellHWDetection	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Autoplay
Simple TCP/IP Services **	simptcp	Not Installed (Automatic, Running)	Not Installed (Automatic, Running)	Not Installed	Not Installed	Not Installed	Keep Not Installed.
Smart Card	SCardSvr	Disabled	Disabled	Disabled	Disabled	Disabled	Not needed if Smart Card login is not in use.
Smart Card Device Enumeration Service	ScDeviceEnum	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	Not needed if Smart Card login is not in use.
Smart Card Removal Policy	SCPolicySvc	Manual	Manual	Disabled *	Disabled *	Disabled *	Not needed if Smart Card login is not in use.
SNMP Service **	SNMP	Not Installed (Automatic, Running)	Not Installed (Automatic, Running)	Not Installed	Not Installed	Not Installed	Keep Not Installed.
SNMP Trap	SNMPTRAP	Manual	Manual	Disabled *	Disabled *	Disabled *	
Software Protection	sppsvc	Automatic (Delayed Start,Trigger Start)	Automatic (Delayed Start,Trigger Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	Cannot be disabled via services.msc
Spatial Data Service	SharedRealitySvc	Manual	Manual	Manual	Manual	Manual	Virtual Reality data manager.
Spot Verifier	svsvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
SSDP Discovery	SSDPSRV	Manual (Running)	Manual (Running)	Manual	Manual	Manual	UPnP functionality. Possible security risk.
State Repository Service	StateRepository	Manual (Running)	Manual (Running)	Manual	Manual	Manual	Cannot be disabled via services.msc
Still Image Acquisition Events	WiaRpc	Manual	Manual	Manual	Manual	Manual	
Storage Service	StorSvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	Required for Windows Store.
Storage Tiers Management	TieringEngineService	Manual	Manual	Manual	Manual	Manual	
Superfetch	SysMain	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Sync Host_?????	OneSyncSvc_?????	Automatic (Delayed Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	
System Event Notification Service	SENS	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
System Events Broker	SystemEventsBroker	Automatic (Trigger Start, Running)	Automatic (Trigger Start, Running)	Automatic	Automatic	Automatic	Cannot be disabled via services.msc
System Guard Runtime Monitor Broker	SgrmBroker	Automatic (Delayed Start, Running)	Automatic (Delayed Start, Running)	Automatic (Delayed Start, Running)	Automatic (Delayed Start, Running)	Automatic (Delayed Start, Running)	New.
Task Scheduler	Schedule	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Cannot be disabled via services.msc
TCP/IP NetBIOS Helper	lmhosts	Manual (Trigger Start, Running)	Manual (Trigger Start, Running)	Manual	Manual	Manual	
Telephony	TapiSrv	Manual	Manual	Manual	Manual	Manual	
Themes	Themes	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Time Broker	TimeBroker	Manual (Trigger Start, Running)	Manual (Trigger Start, Running)	Manual	Manual	Manual	
Touch Keyboard and Handwriting Panel Service	TabletInputService	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Manual	Disabled *	Keep in Manual for laptop touch screens and tablets.
Unified Write Filter Servicing Helper Service **	UwfServcingSvc	Not Available	Not Installed	Not Installed	Not Installed	Not Installed	Keep Not Installed. If installed: (Disabled)
Update Orchestrator Service for Windows Update	UsoSvc	Manual (Running)	Manual (Running)	Manual	Manual	Manual	
UPnP Device Host	upnphost	Manual	Manual	Manual	Manual	Manual	
User Data Access_?????	UserDataSvc_?????	Manual (Running)	Manual (Running)	Manual	Manual	Manual	Cannot be disabled via services.msc
User Data Storage_?????	UnistoreSvc_?????	Manual (Running)	Manual (Running)	Manual	Manual	Manual	Cannot be disabled via services.msc
User Experience Virtualization Service	UevAgentService	Not Available	Disabled	Disabled	Disabled	Disabled	
User Manager	UserManager	Automatic (Trigger Start, Running)	Automatic (Trigger Start, Running)	Automatic	Automatic	Automatic	
User Profile Service	ProfSvc	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Virtual Disk	vds	Manual	Manual	Manual	Manual	Manual	
Volume Shadow Copy	VSS	Manual	Manual	Manual	Manual	Manual	Windows Backup.
W3C Logging Service **	W3LOGSVC	Not Installed	Not Installed	Not Installed	Not Installed	Not Installed	Keep Not Installed. If installed: (Manual)
WalletService	WalletService	Manual	Manual	Manual	Manual	Manual	
Web Management Service **	WMSVC	Not Installed (Manual)	Not Installed (Manual)	Not Installed	Not Installed	Not Installed	
WarpJITSvc		Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Web Account Manager	TokenBroker	Manual (Running)	Manual (Running)	Manual	Manual	Manual	
WebClient	WebClient	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Disabled *	
Wi-Fi Direct Services Connection Manager Service	WFDSConSvc	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Manual	Disabled *	Connect to wireless display.
Windows Audio	AudioSrv	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Do not disable.
Windows Audio Endpoint Builder	AudioEndpointBuilder	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Do not disable.
Windows Backup	SDRSVC	Manual	Manual	Manual	Manual	Manual	Do not disable.
Windows Biometric Service	WbioSrvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Windows Camera Frame Server	FrameServer	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	Could be needed to capture webcam frames.
Windows Connect Now - Config Registrar	wcncsvc	Manual	Manual	Manual	Manual	Disabled *	
Windows Connection Manager	Wcmsvc	Automatic (Trigger Start, Running)	Automatic (Trigger Start, Running)	Automatic	Automatic	Automatic	
Windows Defender Advanced Threat Protection Service	Sense	Not Available	Manual	Manual	Manual	Manual	
Windows Defender Antivirus Network Inspection Service	WdNisSvc	Manual (Running)	Manual (Running)	Manual	Manual	Manual	Cannot be disabled via services.msc
Windows Defender Antivirus Service	WinDefend	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Cannot be disabled via services.msc
Windows Defender Firewall	MpsSvc	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Cannot be disabled via services.msc
Windows Defender Security Center Service	SecurityHealthService	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	Cannot be disabled via services.msc
Windows Encryption Provider Host Service	WEPHOSTSVC	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Windows Error Reporting Service	WerSvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Windows Event Collector	Wecsvc	Manual	Manual	Manual	Manual	Manual	
Windows Event Log	EventLog	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Windows Font Cache Service	FontCache	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Windows Image Acquisition (WIA)	StiSvc	Manual	Manual	Manual	Manual	Manual	
Windows Insider Service	wisvc	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	Disable if not beta testing new versions of Windows via the Insider program.
Windows Installer	msiserver	Manual	Manual	Manual	Manual	Manual	Cannot be disabled via services.msc
Windows License Manager Service	LicenseManager	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	Windows Store.
Windows Management Instrumentation	Winmgmt	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Windows Media Player Network Sharing Service **	WMPNetworkSvc	Manual	Manual	Disabled * (Uninstalled)	Disabled * (Uninstalled)	Disabled * (Uninstalled)	
Windows Mobile Hotspot Service	icssvc	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	Mobile Network Connection (3G, 4G, LTE, Etc). Disable on devices without those options.
Windows Modules Installer	TrustedInstaller	Manual	Manual	Manual	Manual	Manual	
Windows Presentation Foundation Font Cache 3.0.0.0 **	FontCache3.0.0.0	Not Installed (Manual)	Not Installed (Manual)	Not Installed	Not Installed	Not Installed	
Windows Process Activation Service **	WAS	Not Installed (Manual, Running)	Not Installed (Manual, Running)	Not Installed	Not Installed	Not Installed	
Windows Perception Service	spectrum	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	New Virtual Reality Service
Windows Push Notifications System Service	WpnService	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Windows Push Notifications User Service_?????	WpnUserService_?????	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
Windows PushToInstall Service	PushToInstall	Manual	Manual	Manual	Manual	Manual	New.
Windows Remote Management (WS-Management)	WinRM	Manual	Manual	Disabled *	Disabled *	Disabled *	
Windows Search	WSearch	Automatic (Delayed Start, Running)	Automatic (Delayed Start, Running)	Automatic (Delayed Start)	Automatic (Delayed Start)	Automatic (Delayed Start)	
Windows Time	W32Time	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Windows Update	wuauserv	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	Do not disable.
Windows Update Medic Service	WaaSMedicSvc	Manual	Manual	Manual	Manual	Manual	New.
WinHTTP Web Proxy Auto-Discovery Service	WinHttpAutoProxySvc	Manual (Running)	Manual (Running)	Manual	Manual	Manual	
Wired AutoConfig	dot3svc	Manual	Manual	Manual	Manual	Manual	
WLAN AutoConfig	WlanSvc	Automatic	Automatic	Manual	Automatic	Manual	Automatic with Wireless Card Installed.
WMI Performance Adapter	wmiApSrv	Manual	Manual	Manual	Manual	Manual	
Work Folders **	workfolderssvc	Manual	Manual	Uninstalled *	Uninstalled *	Uninstalled *	
Workstation	LanmanWorkstation	Automatic (Running)	Automatic (Running)	Automatic	Automatic	Automatic	
World Wide Web Publishing Service **	W3SVC	Not Installed (Automatic, Running)	Not Installed (Automatic, Running)	Not Installed	Not Installed	Not Installed	If installed: (Automatic, Running). Do not install.
WWAN AutoConfig	WwanSvc	Manual	Manual	Disabled *	Disabled *	Disabled *	Mobile Network Connection (3G, 4G, LTE, Etc). Disable on devices without those options.
Xbox Accessory Management Service	XboxGipSvc	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	
Xbox Game Monitoring	xbgm	Manual (Trigger Start)	Manual (Trigger Start)	Manual	Manual	Manual	Cannot be disabled via services.msc, but will not trigger start if XBOX Live Auth is Disabled.
Xbox Live Auth Manager	XblAuthManager	Manual	Manual	Disabled *	Disabled *	Disabled *	Leave in Manual if using any XBOX console PC to Console functions.
Xbox Live Game Save	XblGameSave	Manual (Trigger Start)	Manual (Trigger Start)	Disabled *	Disabled *	Disabled *	Leave in Manual if using any XBOX console PC to Console functions.
Xbox Live Networking Service	XboxNetApiSvc	Manual	Manual	Disabled *	Disabled *	Disabled *	Leave in Manual if using any XBOX console PC to Console functions.
